country,iso3,lat,long,cases,deaths,recovered,active,critical,casesPerOneMillion,population,todayCases,todayDeaths
Sweden,SWE,62.0,15.0,2754129,27407,2726492,230,0,269511,10218971,0,0
Switzerland,CHE,47.0,8.0,4453053,14452,4438309,292,0,507549,8773637,0,0
Syrian Arab Republic,SYR,35.0,38.0,57743,3165,54578,0,0,2982,19364809,0,0
Taiwan,TWN,23.5,121.0,10241523,19005,10222518,0,0,428720,23888595,0,0
Tajikistan,TJK,39.0,71.0,17786,125,17264,397,0,1786,9957464,0,0
Tanzania,TZA,-6.0,35.0,43223,846,0,42377,0,683,63298550,0,0
Thailand,THA,15.0,100.0,4770149,34586,4692636,42927,0,68069,70078203,0,0
Timor-Leste,TLS,-8.55,125.5167,23460,138,23102,220,0,17131,1369429,0,0
Togo,TGO,8.0,1.1667,39572,290,39281,1,0,4559,8680837,0,0
Tokelau,TKL,-9.0,-172.0,80,0,0,80,0,58055,1378,0,0
Tonga,TON,-20.0,-175.0,16950,13,15638,1299,0,157310,107749,0,0
Trinidad and Tobago,TTO,11.0,-61.0,191496,4390,187078,28,0,136143,1406585,0,0
Tunisia,TUN,34.0,9.0,1153361,29423,0,1123938,0,95741,12046656,0,0
Turkey,TUR,39.0,35.0,17232066,102174,0,17129892,0,201399,85561976,0,0
Turks and Caicos Islands,TCA,21.75,-71.5833,6752,40,6709,3,4,169900,39741,0,0
Tuvalu,TUV,-8.0,178.0,2943,1,0,2942,0,243909,12066,0,0
UAE,ARE,24.0,54.0,1067030,2349,0,1064681,0,105837,10081785,0,0
UK,GBR,54.0,-2.0,24910387,232112,24678275,0,0,363666,68497907,0,0
USA,USA,38.0,-97.0,111820082,1219487,109814428,786167,940,333985,334805269,0,0
Uganda,UGA,1.0,32.0,172149,3632,100431,68086,0,3554,48432863,0,0
Ukraine,UKR,49.0,32.0,5557995,112418,5445577,0,0,128681,43192122,0,0
Uruguay,URY,-33.0,-56.0,1041111,7664,1030944,2503,18,297799,3496016,0,0
Uzbekistan,UZB,41.0,64.0,253662,1637,241486,10539,23,7378,34382084,0,0
Vanuatu,VUT,-16.0,167.0,12019,14,11976,29,0,37346,321832,0,0
Venezuela,VEN,8.0,-66.0,552695,5856,546537,302,31,18885,29266991,0,0
Vietnam,VNM,21.0,105.8,11625195,43206,10640971,941018,0,117481,98953541,0,0
Wallis and Futuna,WLF,-13.3,-176.2,3550,8,438,3104,0,323256,10982,0,0
Western Sahara,ESH,24.5,-13.0,10,1,9,0,0,16,626161,0,0
Yemen,YEM,15.0,48.0,11945,2159,9124,662,0,383,31154867,0,0
Zambia,ZMB,-15.0,30.0,349304,4069,341316,3919,0,17940,19470234,0,0
Zimbabwe,ZWE,-20.0,30.0,266359,5740,258888,1731,12,17373,15331428,0,0
